LOCALE,KEY,ENGLISH,VALUE,CONTEXT,FIXUTURE,VALUE-UNDERSCORE,VALUE-TRANSLATABLE
en,admin.person.section.contact,Contact,Contact,,"'admin.person.section.contact':'Contact',",Contact,Contact
en,admin.person.section.credentials,Credentials,Credentials,,"'admin.person.section.credentials':'Credentials',",Credentials,Credentials
en,admin.person.section.details,Details,Details,,"'admin.person.section.details':'Details',",Details,Details
en,admin.person.status.active,Active,Active,,"'admin.person.status.active':'Active',",Active,Active
en,admin.person.status.expired,Expired,Expired,,"'admin.person.status.expired':'Expired',",Expired,Expired
en,admin.person.status.inactive,Inactive,Inactive,,"'admin.person.status.inactive':'Inactive',",Inactive,Inactive
en,admin.person.unique_username,Username {{value}} is already taken,Username {{value}} is already taken,,"'admin.person.unique_username':'Username {{value}} is already taken',",Username {{value_var_ is already taken,Username _value_var_ is already taken
en,admin.phone.add,Add Phone Number,Add Phone Number,,"'admin.phone.add':'Add Phone Number',",Add Phone Number,Add Phone Number
en,admin.phone.number,Phone Number,Phone Number,,"'admin.phone.number':'Phone Number',",Phone Number,Phone Number
en,admin.phone.numbers,Phone Numbers,Phone Numbers,,"'admin.phone.numbers':'Phone Numbers',",Phone Numbers,Phone Numbers
en,admin.phonenumbertype.cell,Cell,Cell,,"'admin.phonenumbertype.cell':'Cell',",Cell,Cell
en,admin.phonenumbertype.fax,Fax,Fax,,"'admin.phonenumbertype.fax':'Fax',",Fax,Fax
en,admin.phonenumbertype.mobile,Mobile,Mobile,,"'admin.phonenumbertype.mobile':'Mobile',",Mobile,Mobile
en,admin.phonenumbertype.office,Office,Office,,"'admin.phonenumbertype.office':'Office',",Office,Office
en,admin.phonenumbertype.telephone,Telephone,Telephone,,"'admin.phonenumbertype.telephone':'Telephone',",Telephone,Telephone
en,admin.placeholder.auto_assign,All Tickets,All Tickets,,"'admin.placeholder.auto_assign':'All Tickets',",All Tickets,All Tickets
en,admin.placeholder.available_filter,Add Filter,Add Filter,,"'admin.placeholder.available_filter':'Add Filter',",Work,Work
en,admin.placeholder.available_filter.location,Add Locations...,Add Locations...,,"'admin.placeholder.available_filter.location':'Add Locations...',",Work,Work
en,admin.placeholder.available_filter.priority,Add Priorities...,Add Priorities...,,"'admin.placeholder.available_filter.priority':'Add Priorities...',",Work,Work
en,admin.placeholder.category_filter,Category,Category,,"'admin.placeholder.category_filter':'Category',",Category,Category
en,admin.placeholder.category_filter_select,Select Categories,Select Categories,,"'admin.placeholder.category_filter_select':'Select Categories',",Select Categories,
en,admin.placeholder.country_filter,Country,Country,,"'admin.placeholder.country_filter':'Country',",Country,Country
en,admin.placeholder.country_filter_select,Select Countries,Select Countries,,"'admin.placeholder.country_filter_select':'Select Countries',",Select Countries,
en,admin.placeholder.location_filter_select,Select Locations,Select Locations,,"'admin.placeholder.location_filter_select':'Select Locations',",Select Locations,
en,admin.placeholder.priority_filter_select,Select Priorities,Select Priorities,,"'admin.placeholder.priority_filter_select':'Select Priorities',",Select Priorities,
en,admin.placeholder.state_filter,State,State,,"'admin.placeholder.state_filter':'State',",State,State
en,admin.placeholder.state_filter_select,Select States,Select States,,"'admin.placeholder.state_filter_select':'Select States',",Select States,
en,admin.placeholder.ticket_priority,Priority,Priority,,"'admin.placeholder.ticket_priority':'Priority',",Priority,Priority
en,admin.role.label.category,Categories,Categories,,"'admin.role.label.category':'Categories',",Categories,Categories
en,admin.role.label.general,General,General,,"'admin.role.label.general':'General',",General,General
en,admin.role.label.location_level,Location Level,Location Level,,"'admin.role.label.location_level':'Location Level',",Location Level,Location Level
en,admin.role.label.name,Role Name,Role Name,,"'admin.role.label.name':'Role Name',",Role Name,Role Name
en,admin.role.label.number_users,# of People,# of People,,"'admin.role.label.number_users':'# of People',",# of People,# of People
en,admin.role.label.permissions,Permissions,Permissions,,"'admin.role.label.permissions':'Permissions',",Permissions,Permissions
en,role.label.permission.provider,Provider,Provider,,"'role.label.permission.provider':'Provider',",Provider,Provider
en,admin.role.label.role_type,Role Type,Role Type,,"'admin.role.label.role_type':'Role Type',",Role Type,Role Type
en,admin.role.label.settings,Settings,Settings,,"'admin.role.label.settings':'Settings',",Settings,Settings
en,admin.role.new,New Role,New Role,,"'admin.role.new':'New Role',",New Role,New Role
en,admin.role.one,Role,Role,,"'admin.role.one':'Role',",Role,Role
en,admin.role.other,Roles,Roles,,"'admin.role.other':'Roles',",Roles,Roles
en,admin.role.search,Search Role,Search Role,,"'admin.role.search':'Search Role',",Search Role,Search Role
en,admin.role.section.details,Role Details,Role Details,,"'admin.role.section.details':'Role Details',",Role Details,Role Details
en,admin.role.section.settings,Role Settings,Role Settings,,"'admin.role.section.settings':'Role Settings',",Role Settings,Role Settings
en,admin.role.type.internal,Internal,Internal,,"'admin.role.type.internal':'Internal',",Internal,Internal
en,admin.role.type.third_party,Third Party,Third Party,,"'admin.role.type.third_party':'Third Party',",Third Party,Third Party
en,admin.setting.company_code,Company Code,Company Code,,"'admin.setting.company_code':'Company Code',",Company Code,Company Code
en,admin.setting.company_name,Company Name,Company Name,,"'admin.setting.company_name':'Company Name',",Company Name,Company Name
en,admin.setting.create_all,Create All,Create All,,"'admin.setting.create_all':'Create All',",Create All,Create All
en,admin.setting.dashboard_text,Dashboard Text,Dashboard Text,,"'admin.setting.dashboard_text':'Dashboard Text',",Dashboard Text,Dashboard Text
en,admin.setting.dt_start_key,Start,Start,,"'admin.setting.dt_start_key':'Start',",Start,Start
en,admin.setting.exchange_rates,Exchange Rates,Exchange Rates,,"'admin.setting.exchange_rates':'Exchange Rates',",Exchange Rates,Exchange Rates
en,admin.setting.login_grace,Login Grace,Login Grace,,"'admin.setting.login_grace':'Login Grace',",Login Grace,Login Grace
en,admin.setting.modules,Modules,Modules,,"'admin.setting.modules':'Modules',",Modules,Modules
en,admin.setting.modules.invoices,Invoices,Invoices,,"'admin.setting.modules.invoices':'Invoices',",Invoices,Invoices
en,admin.setting.modules.tickets,Tickets,Tickets,,"'admin.setting.modules.tickets':'Tickets',",Tickets,Tickets
en,admin.setting.modules.work_orders,Work Orders,Work Orders,,"'admin.setting.modules.work_orders':'Work Orders',",Work Orders,Work Orders
en,admin.setting.name.general,General Settings,General Settings,,"'admin.setting.name.general':'General Settings',",General Settings,General Settings
en,admin.setting.name.person,Person Settings,Person Settings,,"'admin.setting.name.person':'Person Settings',",Person Settings,Person Settings
en,admin.setting.name.role,Role Settings,Role Settings,,"'admin.setting.name.role':'Role Settings',",Role Settings,Role Settings
en,admin.setting.one,Setting,Setting,,"'admin.setting.one':'Setting',",Setting,Setting
en,admin.setting.other,Settings,Settings,,"'admin.setting.other':'Settings',",Settings,Settings
en,admin.setting.password_one_time,One Time Password,One Time Password,,"'admin.setting.password_one_time':'One Time Password',",One Time Password,One Time Password
en,admin.setting.test_contractor_email,Test Contractor Email,Test Contractor Email,,"'admin.setting.test_contractor_email':'Test Contractor Email',",Test Contractor Email,Test Contractor Email
en,admin.setting.test_contractor_phone,Test Contractor Phone,Test Contractor Phone,,"'admin.setting.test_contractor_phone':'Test Contractor Phone',",Test Contractor Phone,Test Contractor Phone
en,admin.setting.test_mode,Test Mode,Test Mode,,"'admin.setting.test_mode':'Test Mode',",Test Mode,Test Mode
en,admin.template.one,Template,Template,,"'admin.template.one':'Template',",Template,Template
en,admin.template.other,Templates,Templates,,"'admin.template.other':'Templates',",Templates,Templates
en,admin.tenant.billing,Billing,Billing,,"'admin.tenant.billing':'Billing',",Billing,Billing
en,admin.tenant.billing,Billing,Billing,,"'admin.tenant.billing':'Billing',",Billing,Billing
en,admin.tenant.billing_address,Billing Address,Billing Address,,"'admin.tenant.billing_address':'Billing Address',",Billing Address,Billing Address
en,admin.tenant.billing_email,Billing Email,Billing Email,,"'admin.tenant.billing_email':'Billing Email',",Billing Email,Billing Email
en,admin.tenant.billing_phonenumber,Billing Phone Number,Billing Phone Number,,"'admin.tenant.billing_phonenumber':'Billing Phone Number',",Billing Phone Number,Billing Phone Number
en,admin.tenant.countries,Countries,Countries,,"'admin.tenant.countries':'Countries',",Countries,Countries
en,admin.tenant.currency,Currency,Currency,,"'admin.tenant.currency':'Currency',",Currency,Currency
en,admin.tenant.implementation,Implementation,Implementation,,"'admin.tenant.implementation':'Implementation',",Implementation,Implementation
en,admin.tenant.implementation,Implementation,Implementation,,"'admin.tenant.implementation':'Implementation',",Implementation,Implementation
en,admin.tenant.implementation_contact,Implementation Contact,Implementation Contact,,"'admin.tenant.implementation_contact':'Implementation Contact',",Implementation Contact,Implementation Contact
en,admin.tenant.implementation_email,Implementation Email,Implementation Email,,"'admin.tenant.implementation_email':'Implementation Email',",Implementation Email,Implementation Email
en,admin.tenant.label.dtd_start,Decision Tree Origin,Decision Tree Origin,,"'admin.tenant.label.dtd_start':'Decision Tree Origin',",Decision Tree Origin,Decision Tree Origin
en,admin.tenant.label.test_mode,Test Mode,Test Mode,,"'admin.tenant.label.test_mode':'Test Mode',",Test Mode,Test Mode
en,admin.third_party.label.name,Name,Name,,"'admin.third_party.label.name':'Name',",Name,Name
en,admin.third_party.label.number,Number,Number,,"'admin.third_party.label.number':'Number',",Number,Number
en,admin.third_party.status.active,Inactive,Inactive,,"'admin.third_party.status.active':'Inactive',",Inactive,Inactive
en,admin.third_party.status.inactive,Active,Active,,"'admin.third_party.status.inactive':'Active',",Active,Active
en,admin.ticket.requester.placeholder,Requester,Requester,,"'admin.ticket.requester.placeholder':'Requester',",Requester,Requester
en,admin.title,Admin,Admin,,"'admin.title':'Admin',",Admin,Admin
en,admin.translation.label.helper,Helper,Helper,,"'admin.translation.label.helper':'Helper',",Helper,Helper
en,admin.translation.label.key,Key,Key,,"'admin.translation.label.key':'Key',",Key,Key
en,admin.translation.label.translation,Translation,Translation,,"'admin.translation.label.translation':'Translation',",Translation,Translation
en,admin.translation.one,Translation,Translation,,"'admin.translation.one':'Translation',",Translation,Translation
en,admin.translation.other,Translations,Translations,,"'admin.translation.other':'Translations',",Translations,Translations
en,admin.translation.search,Search Translations,Search Translations,,"'admin.translation.search':'Search Translations',",Search Translations,
en,admin.work_order.close.checked,Checked,Checked,,"'admin.work_order.close.checked':'Checked',",Work,Work
en,admin.work_order.close.do_not_display,Do not display,Do not display,,"'admin.work_order.close.do_not_display':'Do not display',",Work,Work
en,admin.work_order.close.unchecked,Unchecked,Unchecked,,"'admin.work_order.close.unchecked':'Unchecked',",Work,Work
en,air.balance,Air Balance,Air Balance,,"'air.balance':'Air Balance',",Air Balance,Air Balance
en,air.duct.cleaning,Air Duct Cleaning,Air Duct Cleaning,,"'air.duct.cleaning':'Air Duct Cleaning',",Air Duct Cleaning,Air Duct Cleaning
en,alarms,Alarms,Alarms,,"'alarms':'Alarms',",Alarms,Alarms
en,animatronics,Animatronics,Animatronics,,"'animatronics':'Animatronics',",Animatronics,Animatronics
en,appliances,Appliances,Appliances,,"'appliances':'Appliances',",Appliances,Appliances
en,aquariums,Aquariums,Aquariums,,"'aquariums':'Aquariums',",Aquariums,Aquariums
en,architectural,Architectural,Architectural,,"'architectural':'Architectural',",Architectural,Architectural
en,artwork,Artwork,Artwork,,"'artwork':'Artwork',",Artwork,Artwork
en,assembly.services,Assembly Services,Assembly Services,,"'assembly.services':'Assembly Services',",Assembly Services,Assembly Services
en,asset.tagging,Asset Tagging,Asset Tagging,,"'asset.tagging':'Asset Tagging',",Asset Tagging,Asset Tagging
en,attachment.fail,File failed to upload,File failed to upload,,"'attachment.fail':'File failed to upload',",Work,Work
en,attachment.too_large,File is too large,File is too large,,"'attachment.too_large':'File is too large',",Work,Work
en,audio.and.video,Audio And Video,Audio And Video,,"'audio.and.video':'Audio And Video',",Audio And Video,Audio And Video
en,auto.glass,Auto Glass,Auto Glass,,"'auto.glass':'Auto Glass',",Auto Glass,Auto Glass
en,automation,Automation,Automation,,"'automation':'Automation',",Automation,Automation
en,automation.actions.body,Body,Body,,"'automation.actions.body':'Body',",Work,Work
en,automation.actions.cc,CC(s),CC(s),,"'automation.actions.cc':'CC(s)',",Work,Work
en,automation.actions.email,Email,Email,,"'automation.actions.email':'Email',",Work,Work
en,automation.actions.message,Message,Message,,"'automation.actions.message':'Message',",Work,Work
en,automation.actions.recipients,Recipients,Recipients,,"'automation.actions.recipients':'Recipients',",Work,Work
en,automation.actions.request,Request Text,Request Text,,"'automation.actions.request':'Request Text',",Work,Work
en,automation.actions.send_email,Send Email,Send Email,,"'automation.actions.send_email':'Send Email',",Work,Work
en,automation.actions.send_sms,Send Text Message,Send Text Message,,"'automation.actions.send_sms':'Send Text Message',",Work,Work
en,automation.actions.sms,Text Message,Text Message,,"'automation.actions.sms':'Text Message',",Work,Work
en,automation.actions.status,Status,Status,,"'automation.actions.status':'Status',",Work,Work
en,automation.actions.status,Status,Status,,"'automation.actions.status':'Status',",Work,Work
en,automation.actions.subject,Subject,Subject,,"'automation.actions.subject':'Subject',",Work,Work
en,automation.actions.ticket_assignee,Ticket: Assignee,Ticket: Assignee,,"'automation.actions.ticket_assignee':'Ticket: Assignee',",Work,Work
en,automation.actions.ticket_cc,Ticket: CC,Ticket: CC,,"'automation.actions.ticket_cc':'Ticket: CC',",Work,Work
en,automation.actions.ticket_priority,Ticket: Priority,Ticket: Priority,,"'automation.actions.ticket_priority':'Ticket: Priority',",Work,Work
en,automation.actions.ticket_request,Ticket: Request,Ticket: Request,,"'automation.actions.ticket_request':'Ticket: Request',",Work,Work
en,automation.actions.ticket_status,Ticket: Status,Ticket: Status,,"'automation.actions.ticket_status':'Ticket: Status',",Work,Work
en,automation.event.ticket_assignee_change,Ticket Assignee Change,Ticket Assignee Change,,"'automation.event.ticket_assignee_change':'Ticket Assignee Change',",Work,Work
en,automation.event.ticket_attachment_add,Ticket Attachment,Ticket Attachment,,"'automation.event.ticket_attachment_add':'Ticket Attachment',",Work,Work
en,automation.event.ticket_category_change,Ticket Category Change,Ticket Category Change,,"'automation.event.ticket_category_change':'Ticket Category Change',",Work,Work
en,automation.event.ticket_cc_add,Ticket CC Change,Ticket CC Change,,"'automation.event.ticket_cc_add':'Ticket CC Change',",Work,Work
en,automation.event.ticket_comment,Ticket Comment,Ticket Comment,,"'automation.event.ticket_comment':'Ticket Comment',",Work,Work
en,automation.event.ticket_location_change,Ticket Location Change,Ticket Location Change,,"'automation.event.ticket_location_change':'Ticket Location Change',",Work,Work
en,automation.event.ticket_priority_change,Ticket Priority Change,Ticket Priority Change,,"'automation.event.ticket_priority_change':'Ticket Priority Change',",Work,Work
en,automation.event.ticket_status_cancelled,Ticket: Status Cancelled,Ticket: Status Cancelled,,"'automation.event.ticket_status_cancelled':'Ticket: Status Cancelled',",Work,Work
en,automation.event.ticket_status_complete,Ticket: Status Complete,Ticket: Status Complete,,"'automation.event.ticket_status_complete':'Ticket: Status Complete',",Work,Work
en,automation.event.ticket_status_deferred,Ticket: Status Deferred,Ticket: Status Deferred,,"'automation.event.ticket_status_deferred':'Ticket: Status Deferred',",Work,Work
en,automation.event.ticket_status_denied,Ticket: Status Denied,Ticket: Status Denied,,"'automation.event.ticket_status_denied':'Ticket: Status Denied',",Work,Work
en,automation.event.ticket_status_draft,Ticket: Status Draft,Ticket: Status Draft,,"'automation.event.ticket_status_draft':'Ticket: Status Draft',",Work,Work
en,automation.event.ticket_status_in_progress,Ticket: Status In Progress,Ticket: Status In Progress,,"'automation.event.ticket_status_in_progress':'Ticket: Status In Progress',",Work,Work
en,automation.event.ticket_status_new,Ticket: Status New,Ticket: Status New,,"'automation.event.ticket_status_new':'Ticket: Status New',",Work,Work
en,automation.event.ticket_status_pending,Ticket: Status Pending,Ticket: Status Pending,,"'automation.event.ticket_status_pending':'Ticket: Status Pending',",Work,Work
en,automation.event.ticket_status_solved,Ticket: Status Solved,Ticket: Status Solved,,"'automation.event.ticket_status_solved':'Ticket: Status Solved',",Work,Work
en,automation.event.ticket_status_unsatisfactory,Ticket: Status Unsatisfactory,Ticket: Status Unsatisfactory,,"'automation.event.ticket_status_unsatisfactory':'Ticket: Status Unsatisfactory',",Work,Work
en,awning.cleaning,Awning Cleaning,Awning Cleaning,,"'awning.cleaning':'Awning Cleaning',",Awning Cleaning,Awning Cleaning
en,awnings.and.shades,Awnings And Shades,Awnings And Shades,,"'awnings.and.shades':'Awnings And Shades',",Awnings And Shades,Awnings And Shades
en,bar.equipment,Bar Equipment,Bar Equipment,,"'bar.equipment':'Bar Equipment',",Bar Equipment,Bar Equipment
en,bicycle.racks,Bicycle Racks,Bicycle Racks,,"'bicycle.racks':'Bicycle Racks',",Bicycle Racks,Bicycle Racks
en,blinds.and.window.coverings,Blinds And Window Coverings,Blinds And Window Coverings,,"'blinds.and.window.coverings':'Blinds And Window Coverings',",Blinds And Window Coverings,Blinds And Window Coverings
en,boilers,Boilers,Boilers,,"'boilers':'Boilers',",Boilers,Boilers
en,book-binding,Book-Binding,Book-Binding,,"'book-binding':'Book-Binding',",Book-Binding,Book-Binding
en,bullet.resistant.enclosures,Bullet Resistant Enclosures,Bullet Resistant Enclosures,,"'bullet.resistant.enclosures':'Bullet Resistant Enclosures',",Bullet Resistant Enclosures,Bullet Resistant Enclosures
en,button.add,New {{model}},New {{model}},,"'button.add':'New {{model}}',",New {{model_var_,New _model_var_
en,button.upload,Attach file,Attach file,,"'button.upload':'Attach file',",Attach file,Attach file
en,cable.services,Cable Services,Cable Services,,"'cable.services':'Cable Services',",Cable Services,Cable Services
en,car.wash,Car Wash,Car Wash,,"'car.wash':'Car Wash',",Car Wash,Car Wash
en,carpet.cleaning,Carpet Cleaning,Carpet Cleaning,,"'carpet.cleaning':'Carpet Cleaning',",Carpet Cleaning,Carpet Cleaning
en,caulking.and.waterproofing,Caulking And Waterproofing,Caulking And Waterproofing,,"'caulking.and.waterproofing':'Caulking And Waterproofing',",Caulking And Waterproofing,Caulking And Waterproofing
en,ceiling.cleaning,Ceiling Cleaning,Ceiling Cleaning,,"'ceiling.cleaning':'Ceiling Cleaning',",Ceiling Cleaning,Ceiling Cleaning
en,ceilings,Ceilings,Ceilings,,"'ceilings':'Ceilings',",Ceilings,Ceilings
en,chemical.process,Chemical Process,Chemical Process,,"'chemical.process':'Chemical Process',",Chemical Process,Chemical Process
en,chemicals,Chemicals,Chemicals,,"'chemicals':'Chemicals',",Chemicals,Chemicals
en,chillers,Chillers,Chillers,,"'chillers':'Chillers',",Chillers,Chillers
en,chimney.service.and.repair,Chimney Service And Repair,Chimney Service And Repair,,"'chimney.service.and.repair':'Chimney Service And Repair',",Chimney Service And Repair,Chimney Service And Repair
en,coffee.equipment,Coffee Equipment,Coffee Equipment,,"'coffee.equipment':'Coffee Equipment',",Coffee Equipment,Coffee Equipment
en,coil.cleaning,Coil Cleaning,Coil Cleaning,,"'coil.cleaning':'Coil Cleaning',",Coil Cleaning,Coil Cleaning
en,communications,Communications,Communications,,"'communications':'Communications',",Communications,Communications
en,computer,Computer,Computer,,"'computer':'Computer',",Computer,Computer
en,concession.stand.equipment.repair,Concession Stand Equipment Repair,Concession Stand Equipment Repair,,"'concession.stand.equipment.repair':'Concession Stand Equipment Repair',",Concession Stand Equipment Repair,Concession Stand Equipment Repair
en,concrete.staining,Concrete Staining,Concrete Staining,,"'concrete.staining':'Concrete Staining',",Concrete Staining,Concrete Staining
en,construction,Construction,Construction,,"'construction':'Construction',",Construction,Construction
en,"construction.equipment.repair,.sales,.rental","Construction Equipment Repair, Sales, Rental","Construction Equipment Repair, Sales, Rental",,"'construction.equipment.repair,.sales,.rental':'Construction Equipment Repair, Sales, Rental',","Construction Equipment Repair, Sales, Rental","Construction Equipment Repair, Sales, Rental"
en,consulting,Consulting,Consulting,,"'consulting':'Consulting',",Consulting,Consulting
en,cooling.towers,Cooling Towers,Cooling Towers,,"'cooling.towers':'Cooling Towers',",Cooling Towers,Cooling Towers
en,crowd.control,Crowd Control,Crowd Control,,"'crowd.control':'Crowd Control',",Crowd Control,Crowd Control
en,crud.cancel.button,Cancel,Cancel,,"'crud.cancel.button':'Cancel',",Cancel,Cancel
en,crud.close_tab,Close Tab,Close Tab,,"'crud.close_tab':'Close Tab',",Close Tab,Close Tab
en,crud.create.button,Create,Create,,"'crud.create.button':'Create',",Create,Create
en,crud.create.error,Error creating {{model}}.,Error creating {{model}}.,,"'crud.create.error':'Error creating {{model}}.',",Error creating {{model_var_.,Error creating _model_var_.
en,crud.create.success,{{model}} created successfully.,{{model}} created successfully.,,"'crud.create.success':'{{model}} created successfully.',",{{model_var_ created successfully.,_model_var_ created successfully.
en,crud.default_value,Default: {{value}},Default: {{value}},,"'crud.default_value':'Default: {{value}}',",Default: {{value_var_,Default: _value_var_
en,crud.delete.button,Delete,Delete,,"'crud.delete.button':'Delete',",Delete,Delete
en,crud.delete.confirm,Are you sure you want to delete this {{module}}?,Are you sure you want to delete this {{module}}?,,"'crud.delete.confirm':'Are you sure you want to delete this {{module}}?',",Are you sure you want to delete this {{module_var_?,Are you sure you want to delete this _module_var_?
en,crud.delete.error,Error deleting {{model}}.,Error deleting {{model}}.,,"'crud.delete.error':'Error deleting {{model}}.',",Error deleting {{model_var_.,Error deleting _model_var_.
en,crud.delete.title,Delete Record,Delete Record,,"'crud.delete.title':'Delete Record',",Delete Record,Delete Record
en,crud.discard_changes,Unsaved Changes,Unsaved Changes,,"'crud.discard_changes':'Unsaved Changes',",Unsaved Changes,Unsaved Changes
en,crud.discard_changes_confirm,All unsaved changes will be lost.  Are you sure you want to continue?,All unsaved changes will be lost.  Are you sure you want to continue?,,"'crud.discard_changes_confirm':'All unsaved changes will be lost. Are you sure you want to continue?',",All unsaved changes will be lost.  Are you sure you want to continue?,All unsaved changes will be lost.  Are you sure you want to continue?
en,crud.duplicate.button,Duplicate,Duplicate,,"'crud.duplicate.button':'Duplicate',",Duplicate,Duplicate
en,crud.inherited_from,Inherited from: {{from}},Inherited from: {{from}},,"'crud.inherited_from':'Inherited from: {{from}}',",Inherited from: {{from_var_,Inherited from: _from_var_
en,crud.no,No,No,,"'crud.no':'No',",No,No
en,crud.print.button,Print,Print,,"'crud.print.button':'Print',",Print,Print
en,crud.restore.button,Restore,Restore,,"'crud.restore.button':'Restore',",Restore,Restore
en,crud.restore.error,Error restoring {{model}},Error restoring {{model}},,"'crud.restore.error':'Error restoring {{model}}',",Error restoring {{model_var_,Error restoring _model_var_
en,crud.restore.success,{{model}} restored successfully.,{{model}} restored successfully.,,"'crud.restore.success':'{{model}} restored successfully.',",{{model_var_ restored successfully.,_model_var_ restored successfully.
en,crud.save_only.button,Save,Save,,"'crud.save_only.button':'Save',",Save,Save
en,crud.save_progress,You currently have unsaved changes.  Would you like to save your progress?,You currently have unsaved changes.  Would you like to save your progress?,,"'crud.save_progress':'You currently have unsaved changes. Would you like to save your progress?',",You currently have unsaved changes.  Would you like to save your progress?,You currently have unsaved changes.  Would you like to save your progress?
en,crud.save.button,Save and Close,Save and Close,,"'crud.save.button':'Save and Close',",Save and Close,Save and Close
en,crud.save.error,Error saving {{model}}.,Error saving {{model}}.,,"'crud.save.error':'Error saving {{model}}.',",Error saving {{model_var_.,Error saving _model_var_.
en,crud.save.success,{{model}} saved successfully.,{{model}} saved successfully.,,"'crud.save.success':'{{model}} saved successfully.',",{{model_var_ saved successfully.,_model_var_ saved successfully.
en,crud.titles.edit,Edit {{model}},Edit {{model}},,"'crud.titles.edit':'Edit {{model}}',",Edit {{model_var_,Edit _model_var_
en,crud.titles.new,New {{model}},New {{model}},,"'crud.titles.new':'New {{model}}',",New {{model_var_,New _model_var_
en,crud.update.button,Update,Update,,"'crud.update.button':'Update',",Update,Update
en,crud.yes,Yes,Yes,,"'crud.yes':'Yes',",Yes,Yes
en,customer.check.out.belts,Customer Check Out Belts,Customer Check Out Belts,,"'customer.check.out.belts':'Customer Check Out Belts',",Customer Check Out Belts,Customer Check Out Belts
en,customer.paging.systems,Customer Paging Systems,Customer Paging Systems,,"'customer.paging.systems':'Customer Paging Systems',",Customer Paging Systems,Customer Paging Systems
en,dashboard.welcome,Welcome,Welcome,,"'dashboard.welcome':'Welcome',",Welcome,Welcome
en,demolition,Demolition,Demolition,,"'demolition':'Demolition',",Demolition,Demolition
en,dental.equipment.repair,Dental Equipment Repair,Dental Equipment Repair,,"'dental.equipment.repair':'Dental Equipment Repair',",Dental Equipment Repair,Dental Equipment Repair
en,disaster.recovery,Disaster Recovery,Disaster Recovery,,"'disaster.recovery':'Disaster Recovery',",Disaster Recovery,Disaster Recovery
en,"diving.services,commercial","Diving Services,Commercial","Diving Services,Commercial",,"'diving.services,commercial':'Diving Services,Commercial',","Diving Services,Commercial","Diving Services,Commercial"
en,dock.doors.and.equipment,Dock Doors And Equipment,Dock Doors And Equipment,,"'dock.doors.and.equipment':'Dock Doors And Equipment',",Dock Doors And Equipment,Dock Doors And Equipment
en,doctitle.admin.index,Admin,Admin,,"'doctitle.admin.index':'Admin',",Admin,Admin
en,doctitle.automation.index,{{count}} Automations,{{count}} Automations,,"'doctitle.automation.index':'{{count}} Automations',",{{count_var_ Automations,_count_var_ Automations
en,doctitle.automation.new,New Automation,New Automation,,"'doctitle.automation.new':'New Automation',",New Automation,New Automation
en,doctitle.automation.single,{{description}},{{description}},,"'doctitle.automation.single':'{{description}}',",{{description_var_,_description_var_
en,doctitle.calendar.index,Calendar,Calendar,,"'doctitle.calendar.index':'Calendar',",Calendar,Calendar
en,doctitle.category.index,{{count}} Categories,{{count}} Categories,,"'doctitle.category.index':'{{count}} Categories',",{{count_var_ Categories,_count_var_ Categories
en,doctitle.category.new,New Category,New Category,,"'doctitle.category.new':'New Category',",New Category,New Category
en,doctitle.category.single,{{name}},{{name}},,"'doctitle.category.single':'{{name}}',",{{name_var_,_name_var_
en,doctitle.dashboard.index,Dashboard,Dashboard,,"'doctitle.dashboard.index':'Dashboard',",Dashboard,Dashboard
en,doctitle.location_level.index,{{count}} Locations Levels,{{count}} Locations Levels,,"'doctitle.location_level.index':'{{count}} Locations Levels',",{{count_var_ Locations Levels,_count_var_ Locations Levels
en,doctitle.location_level.new,New Location Level,New Location Level,,"'doctitle.location_level.new':'New Location Level',",New Location Level,New Location Level
en,doctitle.location_level.single,{{name}},{{name}},,"'doctitle.location_level.single':'{{name}}',",{{name_var_,_name_var_
en,doctitle.location.index,{{count}} Locations,{{count}} Locations,,"'doctitle.location.index':'{{count}} Locations',",{{count_var_ Locations,_count_var_ Locations
en,doctitle.location.new,New Location,New Location,,"'doctitle.location.new':'New Location',",New Location,New Location
en,doctitle.location.single,{{name}},{{name}},,"'doctitle.location.single':'{{name}}',",{{name_var_,_name_var_
en,doctitle.people.index,{{count}} People,{{count}} People,,"'doctitle.people.index':'{{count}} People',",{{count_var_ People,_count_var_ People
en,doctitle.people.new,New Person,New Person,,"'doctitle.people.new':'New Person',",New Person,New Person
en,doctitle.people.single,{{name}},{{name}},,"'doctitle.people.single':'{{name}}',",{{name_var_,_name_var_
en,doctitle.report.index,Reports,Reports,,"'doctitle.report.index':'Reports',",Reports,Reports
en,doctitle.role.index,{{count}} Roles,{{count}} Roles,,"'doctitle.role.index':'{{count}} Roles',",{{count_var_ Roles,_count_var_ Roles
en,doctitle.role.new,New Role,New Role,,"'doctitle.role.new':'New Role',",New Role,New Role
en,doctitle.role.single,{{name}},{{name}},,"'doctitle.role.single':'{{name}}',",{{name_var_,_name_var_
en,doctitle.tenant.index,{{count}} Tenants,{{count}} Tenants,,"'doctitle.tenant.index':'{{count}} Tenants',",{{count_var_ Tenants,_count_var_ Tenants
en,doctitle.tenant.new,New Tenant,New Tenant,,"'doctitle.tenant.new':'New Tenant',",New Tenant,New Tenant
en,doctitle.tenant.single,{{companyName}},{{companyName}},,"'doctitle.tenant.single':'{{companyName}}',",{{companyName_var_,_companyName_var_
